treated,untreated,estimate,weight,type
2015,99999,-4.065416666667067,0.05106020849585136,Treated vs Untreated
2014,99999,-7.644393004114916,0.413587688816396,Treated vs Untreated
2020,99999,-49.55555555555594,0.038295156371888524,Treated vs Untreated
2016,99999,-7.163690476189869,0.03574214594709595,Treated vs Untreated
2019,99999,-29.091435185185443,0.030636125097510816,Treated vs Untreated
2021,99999,15.432196969696841,0.01872207644847883,Treated vs Untreated
2014,2015,-1.3342592592588056,0.011488546911566555,Earlier vs Later Treated
2020,2015,-32.553333333333335,0.004786894546486065,Later vs Earlier Treated
2016,2015,7.759523809523668,0.001489256081128998,Later vs Earlier Treated
2019,2015,-15.35416666666665,0.003404013899723424,Later vs Earlier Treated
2021,2015,26.086111111110956,0.002553010424792568,Later vs Earlier Treated
2015,2014,3.6712962962975566,0.022977093823133114,Later vs Earlier Treated
2020,2014,-21.2765432098764,0.051698461102049495,Later vs Earlier Treated
2016,2014,5.29814814814926,0.026806609460321967,Later vs Earlier Treated
2019,2014,-7.929907407406719,0.038295156371888524,Later vs Earlier Treated
2021,2014,49.5625661375654,0.026806609460321967,Later vs Earlier Treated
2015,2020,-1.5733333333332877,0.007978157577476774,Earlier vs Later Treated
2014,2020,-4.507407407407574,0.06893128146939932,Earlier vs Later Treated
2016,2020,-11.063888888888929,0.005106020849585136,Earlier vs Later Treated
2019,2020,5.1499999999987995,0.001914757818594426,Earlier vs Later Treated
2021,2020,20.64166666666648,4.25501737465428e-4,Later vs Earlier Treated
2015,2016,10.13666666666663,0.00106375434366357,Earlier vs Later Treated
2014,2016,3.221759259259099,0.015318062548755411,Earlier vs Later Treated
2020,2016,-54.02777777777802,0.0025530104247925675,Later vs Earlier Treated
2019,2016,-33.17916666666653,0.001702006949861712,Later vs Earlier Treated
2021,2016,20.800000000000374,0.0014183391248847599,Later vs Earlier Treated
2015,2019,-3.085000000000117,0.00425501737465428,Earlier vs Later Treated
2014,2019,-3.0025925925925994,0.03829515637188854,Earlier vs Later Treated
2020,2019,-4.594444444444453,6.38252606198142e-4,Later vs Earlier Treated
2016,2019,-11.924999999999844,0.002553010424792568,Earlier vs Later Treated
2021,2019,13.325000000000008,5.673356499539039e-4,Later vs Earlier Treated
2015,2021,-3.9888888888888623,0.0063825260619814195,Earlier vs Later Treated
2014,2021,-3.5642857142857687,0.05361321892064394,Earlier vs Later Treated
2020,2021,-47.0950000000001,0.00212750868732714,Earlier vs Later Treated
2016,2021,-7.783333333333406,0.00425501737465428,Earlier vs Later Treated
2019,2021,-29.352777777777906,0.002553010424792568,Earlier vs Later Treated
