treated,untreated,estimate,weight,type
2015,99999,-6.900000000000801,0.05106020849585136,Treated vs Untreated
2014,99999,-17.357098765431907,0.413587688816396,Treated vs Untreated
2020,99999,-97.73000000000043,0.038295156371888524,Treated vs Untreated
2016,99999,-5.386706349205256,0.03574214594709595,Treated vs Untreated
2019,99999,-15.639351851851776,0.030636125097510816,Treated vs Untreated
2021,99999,6.172727272727232,0.01872207644847883,Treated vs Untreated
2014,2015,-2.5842592592597105,0.011488546911566555,Earlier vs Later Treated
2020,2015,-61.97333333333316,0.004786894546486065,Later vs Earlier Treated
2016,2015,8.330952380951883,0.001489256081128998,Later vs Earlier Treated
2019,2015,-5.2958333333331495,0.003404013899723424,Later vs Earlier Treated
2021,2015,26.666666666666377,0.002553010424792568,Later vs Earlier Treated
2015,2014,8.906944444443488,0.022977093823133114,Later vs Earlier Treated
2020,2014,-56.09259259259244,0.051698461102049495,Later vs Earlier Treated
2016,2014,11.801984126985403,0.026806609460321967,Later vs Earlier Treated
2019,2014,3.86472222222377,0.038295156371888524,Later vs Earlier Treated
2021,2014,45.5277777777773,0.026806609460321967,Later vs Earlier Treated
2015,2020,22.66666666666702,0.007978157577476774,Earlier vs Later Treated
2014,2020,12.27129629629613,0.06893128146939932,Earlier vs Later Treated
2016,2020,15.069444444444889,0.005106020849585136,Earlier vs Later Treated
2019,2020,45.18333333333431,0.001914757818594426,Earlier vs Later Treated
2021,2020,15.733333333333583,4.25501737465428e-4,Later vs Earlier Treated
2015,2016,6.240000000000418,0.00106375434366357,Earlier vs Later Treated
2014,2016,-2.5717592592595553,0.015318062548755411,Earlier vs Later Treated
2020,2016,-88.51388888888906,0.0025530104247925675,Later vs Earlier Treated
2019,2016,-29.116666666666543,0.001702006949861712,Later vs Earlier Treated
2021,2016,16.365000000000077,0.0014183391248847599,Later vs Earlier Treated
2015,2019,-16.795000000000147,0.00425501737465428,Earlier vs Later Treated
2014,2019,-22.83481481481549,0.03829515637188854,Earlier vs Later Treated
2020,2019,-28.138888888888744,6.38252606198142e-4,Later vs Earlier Treated
2016,2019,-22.333333333333297,0.002553010424792568,Earlier vs Later Treated
2021,2019,-8.575000000000454,5.673356499539039e-4,Later vs Earlier Treated
2015,2021,0.44333333333331165,0.0063825260619814195,Earlier vs Later Treated
2014,2021,-6.369907407407292,0.05361321892064394,Earlier vs Later Treated
2020,2021,-92.63000000000005,0.00212750868732714,Earlier vs Later Treated
2016,2021,-1.135000000000112,0.00425501737465428,Earlier vs Later Treated
2019,2021,-21.41666666666697,0.002553010424792568,Earlier vs Later Treated
