treated,untreated,estimate,weight,type
2015,99999,-0.6339583333333457,0.05106020849585136,Treated vs Untreated
2014,99999,-0.8220164609053469,0.413587688816396,Treated vs Untreated
2020,99999,-4.194444444444431,0.038295156371888524,Treated vs Untreated
2016,99999,-0.23015873015870913,0.03574214594709595,Treated vs Untreated
2019,99999,1.9634259259259301,0.030636125097510816,Treated vs Untreated
2021,99999,-1.0909090909090424,0.01872207644847883,Treated vs Untreated
2014,2015,-0.41296296296297796,0.011488546911566555,Earlier vs Later Treated
2020,2015,-3.20888888888888,0.004786894546486065,Later vs Earlier Treated
2016,2015,1.3047619047619095,0.001489256081128998,Later vs Earlier Treated
2019,2015,2.0958333333333363,0.003404013899723424,Later vs Earlier Treated
2021,2015,-0.7444444444444439,0.002553010424792568,Later vs Earlier Treated
2015,2014,0.018518518518597836,0.022977093823133114,Later vs Earlier Treated
2020,2014,-2.4302469135802327,0.051698461102049495,Later vs Earlier Treated
2016,2014,0.5997354497354532,0.026806609460321967,Later vs Earlier Treated
2019,2014,2.2112037037037098,0.038295156371888524,Later vs Earlier Treated
2021,2014,0.18716931216934765,0.026806609460321967,Later vs Earlier Treated
2015,2020,0.5400000000000155,0.007978157577476774,Earlier vs Later Treated
2014,2020,0.367901234567926,0.06893128146939932,Earlier vs Later Treated
2016,2020,1.1236111111111196,0.005106020849585136,Earlier vs Later Treated
2019,2020,4.233333333333335,0.001914757818594426,Earlier vs Later Treated
2021,2020,2.041666666666657,4.25501737465428e-4,Later vs Earlier Treated
2015,2016,0.45000000000001456,0.00106375434366357,Earlier vs Later Treated
2014,2016,-0.2226851851852167,0.015318062548755411,Earlier vs Later Treated
2020,2016,-3.4069444444444534,0.0025530104247925675,Later vs Earlier Treated
2019,2016,0.8000000000000086,0.001702006949861712,Later vs Earlier Treated
2021,2016,0.0049999999999966365,0.0014183391248847599,Later vs Earlier Treated
2015,2019,-2.304999999999992,0.00425501737465428,Earlier vs Later Treated
2014,2019,-2.714722222222251,0.03829515637188854,Earlier vs Later Treated
2020,2019,-1.9944444444444507,6.38252606198142e-4,Later vs Earlier Treated
2016,2019,-2.3583333333333383,0.002553010424792568,Earlier vs Later Treated
2021,2019,-1.4500000000000044,5.673356499539039e-4,Later vs Earlier Treated
2015,2021,-0.37277777777778637,0.0063825260619814195,Earlier vs Later Treated
2014,2021,-0.4225529100528989,0.05361321892064394,Earlier vs Later Treated
2020,2021,-1.2866666666666666,0.00212750868732714,Earlier vs Later Treated
2016,2021,0.6466666666666697,0.00425501737465428,Earlier vs Later Treated
2019,2021,3.0111111111111035,0.002553010424792568,Earlier vs Later Treated
