treated,untreated,estimate,weight,type
2015,99999,-662.5427083333367,0.05106020849585136,Treated vs Untreated
2014,99999,2342.3407921810626,0.413587688816396,Treated vs Untreated
2020,99999,3747.375000000112,0.038295156371888524,Treated vs Untreated
2016,99999,-1786.466269841229,0.03574214594709595,Treated vs Untreated
2019,99999,1799.8090277777878,0.030636125097510816,Treated vs Untreated
2021,99999,-2123.8977272726434,0.01872207644847883,Treated vs Untreated
2014,2015,243.12962962968942,0.011488546911566555,Earlier vs Later Treated
2020,2015,3351.8888888888937,0.004786894546486065,Later vs Earlier Treated
2016,2015,-352.11904761901883,0.001489256081128998,Later vs Earlier Treated
2019,2015,2516.7083333333517,0.003404013899723424,Later vs Earlier Treated
2021,2015,-1735.791666666632,0.002553010424792568,Later vs Earlier Treated
2015,2014,-2770.9328703700667,0.022977093823133114,Later vs Earlier Treated
2020,2014,1257.5864197531048,0.051698461102049495,Later vs Earlier Treated
2016,2014,-3179.6732804232997,0.026806609460321967,Later vs Earlier Treated
2019,2014,-526.2074074073372,0.038295156371888524,Later vs Earlier Treated
2021,2014,-3682.814814814801,0.026806609460321967,Later vs Earlier Treated
2015,2020,-2315.600000000027,0.007978157577476774,Earlier vs Later Treated
2014,2020,-100.280864197586,0.06893128146939932,Earlier vs Later Treated
2016,2020,-3801.9305555555425,0.005106020849585136,Earlier vs Later Treated
2019,2020,-2157.7037037037117,0.001914757818594426,Earlier vs Later Treated
2021,2020,-2100.500000000005,4.25501737465428e-4,Later vs Earlier Treated
2015,2016,700.2666666666635,0.00106375434366357,Earlier vs Later Treated
2014,2016,1527.1712962963138,0.015318062548755411,Earlier vs Later Treated
2020,2016,2886.1249999999936,0.0025530104247925675,Later vs Earlier Treated
2019,2016,1628.541666666685,0.001702006949861712,Later vs Earlier Treated
2021,2016,-1019.749999999969,0.0014183391248847599,Later vs Earlier Treated
2015,2019,-942.699999999988,0.00425501737465428,Earlier vs Later Treated
2014,2019,490.5888888888669,0.03829515637188854,Earlier vs Later Treated
2020,2019,-300.16666666668954,6.38252606198142e-4,Later vs Earlier Treated
2016,2019,-2523.5000000000105,0.002553010424792568,Earlier vs Later Treated
2021,2019,-2419.3750000000114,5.673356499539039e-4,Later vs Earlier Treated
2015,2021,70.89166666666407,0.0063825260619814195,Earlier vs Later Treated
2014,2021,2256.875000000017,0.05361321892064394,Earlier vs Later Treated
2020,2021,4242.683333333316,0.00212750868732714,Earlier vs Later Treated
2016,2021,-680.3333333333411,0.00425501737465428,Earlier vs Later Treated
2019,2021,2380.763888888865,0.002553010424792568,Earlier vs Later Treated
