treated,untreated,estimate,weight,type
2015,99999,1.436895833333326,0.05106020849585136,Treated vs Untreated
2014,99999,0.6152443415637996,0.413587688816396,Treated vs Untreated
2020,99999,-0.39947222222225354,0.038295156371888524,Treated vs Untreated
2016,99999,1.121369047619043,0.03574214594709595,Treated vs Untreated
2019,99999,0.8551157407407317,0.030636125097510816,Treated vs Untreated
2021,99999,0.7632196969696732,0.01872207644847883,Treated vs Untreated
2014,2015,-0.44379629629631,0.011488546911566555,Earlier vs Later Treated
2020,2015,-0.7199999999999984,0.004786894546486065,Later vs Earlier Treated
2016,2015,-0.3573809523809541,0.001489256081128998,Later vs Earlier Treated
2019,2015,-0.05000000000000199,0.003404013899723424,Later vs Earlier Treated
2021,2015,0.00944444444444089,0.002553010424792568,Later vs Earlier Treated
2015,2014,0.44365740740736875,0.022977093823133114,Later vs Earlier Treated
2020,2014,-0.6189506172839447,0.051698461102049495,Later vs Earlier Treated
2016,2014,0.24929894179894202,0.026806609460321967,Later vs Earlier Treated
2019,2014,0.12339814814811062,0.038295156371888524,Later vs Earlier Treated
2021,2014,0.19355820105821175,0.026806609460321967,Later vs Earlier Treated
2015,2020,1.462000000000008,0.007978157577476774,Earlier vs Later Treated
2014,2020,0.8569135802469255,0.06893128146939932,Earlier vs Later Treated
2016,2020,1.3891666666666624,0.005106020849585136,Earlier vs Later Treated
2019,2020,1.064629629629634,0.001914757818594426,Earlier vs Later Treated
2021,2020,0.14249999999999904,4.25501737465428e-4,Later vs Earlier Treated
2015,2016,-0.029666666666660662,0.00106375434366357,Earlier vs Later Treated
2014,2016,-0.3486111111111201,0.015318062548755411,Earlier vs Later Treated
2020,2016,-0.3516666666666635,0.0025530104247925675,Later vs Earlier Treated
2019,2016,-0.06041666666666613,0.001702006949861712,Later vs Earlier Treated
2021,2016,0.33550000000000835,0.0014183391248847599,Later vs Earlier Treated
2015,2019,0.46391666666666687,0.00425501737465428,Earlier vs Later Treated
2014,2019,-0.3465555555555524,0.03829515637188854,Earlier vs Later Treated
2020,2019,-0.22833333333333544,6.38252606198142e-4,Later vs Earlier Treated
2016,2019,0.1825000000000018,0.002553010424792568,Earlier vs Later Treated
2021,2019,-0.03499999999999591,5.673356499539039e-4,Later vs Earlier Treated
2015,2021,0.5772777777777793,0.0063825260619814195,Earlier vs Later Treated
2014,2021,-0.09921957671958191,0.05361321892064394,Earlier vs Later Treated
2020,2021,-1.1026666666666647,0.00212750868732714,Earlier vs Later Treated
2016,2021,0.29633333333333783,0.00425501737465428,Earlier vs Later Treated
2019,2021,-0.07805555555555029,0.002553010424792568,Earlier vs Later Treated
