outcome,cohort_year,n_treated,n_control,coef,se,ci_lower,ci_upper,pvalue,pre_mean_treated,pre_mean_control
allcause_age_adj_rate,2014,27,10,-31.45335948194809,12.08330028012673,-55.13619284537923,-7.770526118516955,0.009240015702417146,728.3351851851853,809.7574999999999
allcause_age_adj_rate,2015,3,10,-54.99466583225288,37.07255772805455,-127.65554379402184,17.666212129516083,0.13795933137571784,776.8133333333334,807.382
allcause_age_adj_rate,2016,2,10,-45.44472334985098,23.098306818748764,-90.71657281845451,-0.17287388124745462,0.04913155632057178,821.5750000000002,807.3000000000001
allcause_age_adj_rate,2019,2,10,-69.61891304260234,21.03718015993395,-110.85102849235346,-28.38679759285123,0.0009352046617054066,739.7611111111111,804.5355555555557
allcause_age_adj_rate,2020,3,10,-58.903331474195774,14.103424297632232,-86.54553515624205,-31.26112779214949,2.959937060155115e-05,717.1366666666665,803.038
allcause_age_adj_rate,2021,2,10,-2.0479215637787043,19.678657819572148,-40.61738215422763,36.52153902667021,0.9171152641841014,866.4863636363636,813.6863636363636
allcause_age_adj_rate,2023,2,10,-2.220177484714525e-11,2.338862983834527e-11,-6.804264697804085e-11,2.363909728375034e-11,0.34249091217491157,777.5807692307692,833.6
allcause_crude_rate,2014,27,10,-47.866454834479235,17.456756702577945,-82.0810692584102,-13.651840410548274,0.006106604388442279,828.9472222222224,870.1424999999999
allcause_crude_rate,2015,3,10,-40.60012858811481,39.242885864233074,-117.51477153142763,36.314514355198,0.30086243451882755,814.4866666666665,874.5740000000001
allcause_crude_rate,2016,2,10,-44.7332945480334,27.49030734225417,-98.61330686278859,9.146717766721785,0.10368639158196508,919.9666666666667,881.1649999999998
allcause_crude_rate,2019,2,10,-28.57707949192958,25.002882028073746,-77.58182777665792,20.427668792798748,0.25305876204741906,903.0722222222222,898.197777777778
allcause_crude_rate,2020,3,10,-97.46826736369039,18.084000745973334,-132.91225752219358,-62.02427720518718,7.055523725580753e-08,734.7599999999999,903.3100000000002
allcause_crude_rate,2021,2,10,-2.6746368528982423,21.59073259700665,-44.99169514286622,39.64242143706974,0.9014111358224391,1006.531818181818,922.8954545454545
allcause_crude_rate,2023,2,10,-1.948155301770582e-11,6.647435940762136e-11,-1.4976890335201502e-10,1.1080579731660337e-10,0.7694696530464235,921.353846153846,954.3307692307692
diabetes_age_adj_rate,2014,27,10,-1.49803828486447,0.7501687899367816,-2.9683420954665554,-0.027734474262384623,0.045832248490119895,20.79814814814815,22.3425
diabetes_age_adj_rate,2015,3,10,-2.7456731009714543,1.8962563122804432,-6.462267178497861,0.970920976554952,0.14763269047873684,22.073333333333334,22.212000000000003
diabetes_age_adj_rate,2016,2,10,-1.9484757479486154,1.1135546635553655,-4.131002783333749,0.23405128743651793,0.0801562723983277,23.174999999999997,22.21833333333333
diabetes_age_adj_rate,2019,2,10,-0.7536128007877442,0.8949120515012657,-2.5076081910610792,1.0003825894855907,0.39972737679311454,20.844444444444445,22.264444444444443
diabetes_age_adj_rate,2020,3,10,-3.562012169005868,1.0083003054867499,-5.538244453360632,-1.5857798846511042,0.00041135488353589056,23.013333333333332,22.328999999999997
diabetes_age_adj_rate,2021,2,10,-1.0124343252709722,0.8879315065285277,-2.752748098805278,0.727879448263334,0.2541960349308229,25.213636363636365,22.73363636363636
diabetes_age_adj_rate,2023,2,10,-1.2319916396588808e-14,1.2733486287666522e-12,-2.5080373685426905e-12,2.4833975357495133e-12,0.9922804191237025,24.78461538461538,23.33076923076923
diabetes_crude_rate,2014,27,10,-2.080692153090886,0.9856776414008488,-4.012584830602936,-0.148799475578836,0.03477870846202148,23.79074074074074,24.315
diabetes_crude_rate,2015,3,10,-2.5427099704326652,2.2391021083780167,-6.931269460561278,1.845849519695948,0.2561266986260634,23.406666666666663,24.363999999999997
diabetes_crude_rate,2016,2,10,-2.068579170874775,1.2990883228192114,-4.6147454963369725,0.4775871545874226,0.11131025371683761,26.224999999999998,24.569999999999997
diabetes_crude_rate,2019,2,10,1.043803069892298,1.2434361211117768,-1.3932869445629692,3.4808930843475654,0.4012165571363736,26.177777777777777,25.251111111111115
diabetes_crude_rate,2020,3,10,-4.683063093900222,1.1079322268608383,-6.854570355858725,-2.5115558319417177,2.369857593308473e-05,23.38666666666667,25.540000000000006
diabetes_crude_rate,2021,2,10,-1.5854791500006473,0.979250363521228,-3.5047745943500095,0.33381629434871507,0.10543126598602512,29.5,26.234545454545458
diabetes_crude_rate,2023,2,10,-8.230294454593914e-14,2.6532097751121702e-12,-5.282498547195409e-12,5.1178926581035314e-12,0.9752534762382016,29.746153846153845,27.26
diabetes_prevalence,2014,27,10,-0.3142108509559305,0.33221985476985244,-0.9653498012539685,0.33692809934210755,0.34425473271848905,9.411111111111111,10.740000000000002
diabetes_prevalence,2015,3,10,-0.6730180936938308,0.6018996624164165,-1.852719754336824,0.5066835669491623,0.2635001067817262,9.433333333333332,10.865
diabetes_prevalence,2016,2,10,-0.3966593294498959,0.4031856801963843,-1.1868887417170932,0.39357008281730144,0.3252074468972821,9.93,10.956
diabetes_prevalence,2019,2,10,-0.29251381664706977,0.3885715192761728,-1.0540999998463798,0.46907236655224027,0.4515744732679542,10.1625,11.30625
diabetes_prevalence,2020,3,10,-0.5007689347639301,0.3181913624430855,-1.1244125453441085,0.12287467581624822,0.11553415300548038,8.462962962962964,11.374444444444443
diabetes_prevalence,2021,2,10,-0.27658917191588495,0.1901439255239534,-0.6492644178218999,0.09608607399013003,0.14577155568575043,11.36,11.453
diabetes_prevalence,2023,2,10,3.326112503674301e-13,1.0405847060924381e-12,-1.7068972964369457e-12,2.372119797171806e-12,0.7492421553913704,10.412500000000001,11.628571428571426
maternal_age_adj_rate,2014,27,10,-0.1342562380236609,0.10619318363593344,-0.34239105335373865,0.07387857730641686,0.20613522244217253,0.7066666666666667,1.0000000000000002
maternal_age_adj_rate,2015,3,10,-0.2502811922883335,0.07272938889293137,-0.3928281751360864,-0.1077342094405806,0.0005789984692901738,0.8555555555555555,1.0473684210526317
maternal_age_adj_rate,2016,2,10,-0.7334573390779634,0.10275122555747769,-0.9348460405379713,-0.5320686376179555,9.457074769667115e-13,1.85,1.075
maternal_age_adj_rate,2019,2,10,0.09282244865938186,0.10313247787072374,-0.10931349360361081,0.2949583909223745,0.3681036428602157,0.8750000000000001,1.0860465116279072
maternal_age_adj_rate,2020,3,10,-0.1762774498121046,0.11904595549872218,-0.4096032350947581,0.05704833547054888,0.1386728661814622,0.9,1.080769230769231
maternal_age_adj_rate,2021,2,10,-0.20044622378854257,0.11704841330771536,-0.42985689831922347,0.028964450742138298,0.08680328097101554,1.0470588235294118,1.0901639344262295
maternal_age_adj_rate,2023,2,10,-1.2092496231532394e-13,8.89482655996138e-14,-2.9526035937787e-13,5.341043474722213e-14,0.1739889314801396,1.0333333333333334,1.1493670886075946
maternal_crude_rate,2014,27,10,-0.11148044730848877,0.09225236193911453,-0.2922917541979069,0.06933085958092935,0.22688221629252903,0.6633333333333334,0.9214285714285715
maternal_crude_rate,2015,3,10,-0.21310936382486756,0.07023846285042497,-0.35077422134115505,-0.07544450630858007,0.0024126761227434446,0.7666666666666667,0.9631578947368421
maternal_crude_rate,2016,2,10,-0.6092735975108354,0.08209244711194592,-0.7701718372530086,-0.4483753577686622,1.1554053956306068e-13,1.675,0.9875000000000002
maternal_crude_rate,2019,2,10,0.09657065984254488,0.0999866654206884,-0.09939960331626078,0.29254092300135054,0.3341265573731512,0.8,0.9813953488372094
maternal_crude_rate,2020,3,10,-0.09599369247086596,0.10614285705599869,-0.30402986951680655,0.11204248457507461,0.3657928637938348,0.9,0.9711538461538461
maternal_crude_rate,2021,2,10,-0.23187274011531436,0.06506816444046827,-0.359403998958762,-0.10434148127186671,0.00036589262354199374,0.9411764705882355,0.9704918032786886
maternal_crude_rate,2023,2,10,-1.382824214847351e-13,7.425989313577913e-14,-2.838291375266554e-13,7.264294557185188e-15,0.06258316157223107,0.922222222222222,1.018987341772152
